timestamp,consumption,generation,sensor_0_wh,sensor_1_wh,sensor_2_wh,sensor_3_wh,sensor_4_wh
2025-02-16 12:00:00,42.92,25.53,11.41,0.39,2.04,23.35,0.48
2025-02-16 13:00:00,52.83,25.73,11.38,0.32,2.04,22.75,0.49
2025-02-16 14:00:00,40.83,24.48,11.49,0.34,2.16,25.93,0.48
2025-02-16 15:00:00,42.06,18.27,10.21,0.32,2.31,27.05,0.44
2025-02-16 16:00:00,47.51,23.35,11.69,0.32,2.32,24.76,0.4
2025-02-16 17:00:00,46.38,25.71,10.29,0.32,2.24,23.07,0.44
2025-02-16 18:00:00,42.6,21.4,11.07,0.34,2.08,26.27,0.39
2025-02-16 19:00:00,47.04,19.48,11.27,0.39,2.33,26.34,0.37
2025-02-16 20:00:00,39.64,0.0,10.78,0.38,1.95,25.15,0.44
2025-02-16 21:00:00,43.83,0.0,11.93,0.31,1.96,26.32,0.42
2025-02-16 22:00:00,48.73,0.0,11.17,0.33,2.28,26.68,0.45
2025-02-16 23:00:00,42.97,0.0,11.52,0.35,1.97,27.27,0.36
2025-02-17 00:00:00,52.35,0.0,11.2,0.32,2.16,27.05,0.46
2025-02-17 01:00:00,50.36,0.0,11.68,0.4,2.29,23.91,0.42
2025-02-17 02:00:00,42.27,0.0,12.42,0.44,1.94,26.2,0.49
2025-02-17 03:00:00,41.7,0.0,11.47,0.43,1.94,26.16,0.39
2025-02-17 04:00:00,52.0,0.0,12.39,0.44,2.13,26.99,0.48
2025-02-17 05:00:00,43.62,0.0,12.06,0.3,2.18,23.81,0.36
2025-02-17 06:00:00,40.27,23.69,11.76,0.35,2.24,22.98,0.39
2025-02-17 07:00:00,46.67,17.68,11.98,0.34,2.19,27.11,0.44
2025-02-17 08:00:00,42.43,23.85,10.24,0.42,1.94,27.06,0.42
2025-02-17 09:00:00,52.2,24.15,12.0,0.44,2.08,26.52,0.4
2025-02-17 10:00:00,45.84,19.89,11.61,0.43,2.35,26.52,0.41
2025-02-17 11:00:00,45.03,23.48,11.86,0.33,1.97,24.44,0.38
2025-02-17 12:00:00,43.3,22.84,10.72,0.3,1.93,27.63,0.41
2025-02-17 13:00:00,44.52,20.11,11.73,0.33,2.33,26.61,0.35
2025-02-17 14:00:00,44.98,22.13,12.18,0.44,2.13,25.74,0.36
2025-02-17 15:00:00,52.92,26.6,10.71,0.44,2.2,25.71,0.42
2025-02-17 16:00:00,42.4,21.77,10.59,0.33,2.01,26.58,0.39
2025-02-17 17:00:00,40.0,23.8,12.38,0.43,2.32,27.66,0.37
2025-02-17 18:00:00,44.69,17.85,11.9,0.4,1.99,26.76,0.37
2025-02-17 19:00:00,42.3,18.28,11.4,0.38,2.17,23.11,0.48
2025-02-17 20:00:00,42.88,0.0,10.48,0.43,2.34,26.99,0.47
2025-02-17 21:00:00,48.27,0.0,11.44,0.31,2.1,24.53,0.38
2025-02-17 22:00:00,49.21,0.0,11.31,0.31,2.02,26.09,0.35
2025-02-17 23:00:00,50.98,0.0,11.31,0.37,2.18,26.8,0.39
2025-02-18 00:00:00,48.59,0.0,11.47,0.34,2.3,26.67,0.45
2025-02-18 01:00:00,50.97,0.0,12.15,0.4,2.28,26.16,0.45
2025-02-18 02:00:00,47.76,0.0,11.89,0.32,2.3,27.04,0.34
2025-02-18 03:00:00,50.63,0.0,10.48,0.35,2.24,23.46,0.47
2025-02-18 04:00:00,50.72,0.0,11.34,0.3,2.05,25.76,0.5
2025-02-18 05:00:00,47.95,0.0,10.78,0.39,2.16,26.58,0.35
2025-02-18 06:00:00,49.73,20.88,11.41,0.44,2.07,25.84,0.49
2025-02-18 07:00:00,40.62,21.43,12.31,0.4,1.96,24.17,0.45
2025-02-18 08:00:00,40.14,26.13,11.51,0.35,2.19,22.88,0.48
2025-02-18 09:00:00,52.67,26.35,12.38,0.41,1.98,26.47,0.34
2025-02-18 10:00:00,39.51,25.78,10.92,0.37,2.26,26.09,0.41
2025-02-18 11:00:00,42.99,26.15,12.45,0.36,2.12,23.48,0.47
2025-02-18 12:00:00,48.8,23.2,10.69,0.31,2.22,25.95,0.38
2025-02-18 13:00:00,52.36,23.96,10.53,0.36,2.33,24.77,0.44
2025-02-18 14:00:00,44.71,23.07,10.81,0.44,2.1,27.15,0.37
2025-02-18 15:00:00,42.15,25.36,10.26,0.39,2.08,27.0,0.42
2025-02-18 16:00:00,52.6,23.01,10.61,0.42,2.26,26.53,0.48
2025-02-18 17:00:00,49.73,18.61,11.61,0.32,1.94,27.29,0.44
2025-02-18 18:00:00,50.23,25.6,11.28,0.31,1.98,26.1,0.41
2025-02-18 19:00:00,41.98,25.11,11.3,0.31,2.18,24.01,0.47
2025-02-18 20:00:00,43.5,0.0,11.22,0.3,1.96,24.63,0.42
2025-02-18 21:00:00,47.51,0.0,10.85,0.4,2.29,26.58,0.34
2025-02-18 22:00:00,45.85,0.0,10.43,0.33,2.35,23.37,0.42
2025-02-18 23:00:00,47.76,0.0,11.78,0.38,1.93,24.3,0.42
2025-02-19 00:00:00,40.42,0.0,10.98,0.3,1.96,24.65,0.36
2025-02-19 01:00:00,47.06,0.0,11.75,0.41,2.01,23.5,0.35
2025-02-19 02:00:00,48.01,0.0,11.79,0.3,2.33,22.91,0.43
2025-02-19 03:00:00,49.02,0.0,12.16,0.4,2.27,24.36,0.47
2025-02-19 04:00:00,40.31,0.0,12.21,0.38,2.28,24.93,0.44
2025-02-19 05:00:00,46.49,0.0,11.84,0.31,1.95,23.9,0.36
2025-02-19 06:00:00,51.27,26.05,10.68,0.44,2.07,23.57,0.47
